feature,mean_abs_shap,feature_type,days_back
Soc_h10_day_minus7,0.0,Soc,7
Soc_h11_day_minus7,0.0,Soc,7
Soc_h12_day_minus7,0.0,Soc,7
Soc_h13_day_minus7,0.0,Soc,7
Soc_h14_day_minus7,0.0,Soc,7
Soc_h15_day_minus7,0.0,Soc,7
Soc_h16_day_minus7,0.0,Soc,7
dSocdt_h10_day_minus14,0.0,dSocdt,14
Soc_h18_day_minus7,0.0,Soc,7
Soc_h19_day_minus7,0.0,Soc,7
Soc_h20_day_minus7,0.0,Soc,7
Soc_h21_day_minus7,0.0,Soc,7
Soc_h22_day_minus7,0.0,Soc,7
Soc_h23_day_minus7,0.0,Soc,7
dayofweek_day_minus7,0.0,Date,7
day_day_minus7,0.0,Date,7
month_day_minus7,0.0,Date,7
year_day_minus7,0.0,Date,7
dSocdt_h11_day_minus14,0.0,dSocdt,14
dSocdt_h1_day_minus6,0.0,dSocdt,6
dSocdt_h2_day_minus6,0.0,dSocdt,6
dSocdt_h3_day_minus6,0.0,dSocdt,6
dSocdt_h4_day_minus6,0.0,dSocdt,6
dSocdt_h5_day_minus6,0.0,dSocdt,6
dSocdt_h6_day_minus6,0.0,dSocdt,6
dSocdt_h7_day_minus6,0.0,dSocdt,6
dSocdt_h12_day_minus14,0.0,dSocdt,14
dSocdt_h9_day_minus6,0.0,dSocdt,6
dSocdt_h13_day_minus14,0.0,dSocdt,14
dSocdt_h11_day_minus6,0.0,dSocdt,6
dSocdt_h12_day_minus6,0.0,dSocdt,6
dSocdt_h14_day_minus14,0.0,dSocdt,14
dSocdt_h14_day_minus6,0.0,dSocdt,6
dSocdt_h15_day_minus6,0.0,dSocdt,6
dSocdt_h16_day_minus6,0.0,dSocdt,6
dSocdt_h17_day_minus6,0.0,dSocdt,6
dSocdt_h18_day_minus6,0.0,dSocdt,6
dSocdt_h19_day_minus6,0.0,dSocdt,6
dSocdt_h20_day_minus6,0.0,dSocdt,6
dSocdt_h15_day_minus14,0.0,dSocdt,14
dSocdt_h22_day_minus6,0.0,dSocdt,6
dSocdt_h16_day_minus14,0.0,dSocdt,14
Soc_h0_day_minus6,0.0,Soc,6
Soc_h1_day_minus6,0.0,Soc,6
Soc_h2_day_minus6,0.0,Soc,6
Soc_h3_day_minus6,0.0,Soc,6
Soc_h4_day_minus6,0.0,Soc,6
Soc_h5_day_minus6,0.0,Soc,6
Soc_h6_day_minus6,0.0,Soc,6
Soc_h7_day_minus6,0.0,Soc,6
Soc_h8_day_minus6,0.0,Soc,6
Soc_h9_day_minus6,0.0,Soc,6
Soc_h10_day_minus6,0.0,Soc,6
Soc_h11_day_minus6,0.0,Soc,6
Soc_h12_day_minus6,0.0,Soc,6
Soc_h13_day_minus6,0.0,Soc,6
Soc_h14_day_minus6,0.0,Soc,6
Soc_h15_day_minus6,0.0,Soc,6
Soc_h16_day_minus6,0.0,Soc,6
Soc_h17_day_minus6,0.0,Soc,6
Soc_h18_day_minus6,0.0,Soc,6
Soc_h19_day_minus6,0.0,Soc,6
Soc_h20_day_minus6,0.0,Soc,6
Soc_h21_day_minus6,0.0,Soc,6
Soc_h22_day_minus6,0.0,Soc,6
Soc_h23_day_minus6,0.0,Soc,6
dayofweek_day_minus6,0.0,Date,6
day_day_minus6,0.0,Date,6
month_day_minus6,0.0,Date,6
year_day_minus6,0.0,Date,6
dSocdt_h17_day_minus14,0.0,dSocdt,14
dSocdt_h1_day_minus5,0.0,dSocdt,5
dSocdt_h2_day_minus5,0.0,dSocdt,5
dSocdt_h3_day_minus5,0.0,dSocdt,5
dSocdt_h4_day_minus5,0.0,dSocdt,5
dSocdt_h5_day_minus5,0.0,dSocdt,5
dSocdt_h6_day_minus5,0.0,dSocdt,5
dSocdt_h7_day_minus5,0.0,dSocdt,5
dSocdt_h18_day_minus14,0.0,dSocdt,14
dSocdt_h9_day_minus5,0.0,dSocdt,5
dSocdt_h10_day_minus5,0.0,dSocdt,5
dSocdt_h19_day_minus14,0.0,dSocdt,14
dSocdt_h12_day_minus5,0.0,dSocdt,5
dSocdt_h13_day_minus5,0.0,dSocdt,5
dSocdt_h14_day_minus5,0.0,dSocdt,5
dSocdt_h15_day_minus5,0.0,dSocdt,5
dSocdt_h16_day_minus5,0.0,dSocdt,5
dSocdt_h20_day_minus14,0.0,dSocdt,14
dSocdt_h21_day_minus14,0.0,dSocdt,14
dSocdt_h22_day_minus14,0.0,dSocdt,14
dSocdt_h5_day_minus14,0.0,dSocdt,14
Soc_h0_day_minus14,0.0,Soc,14
Soc_h1_day_minus14,0.0,Soc,14
Soc_h2_day_minus14,0.0,Soc,14
Soc_h0_day_minus5,0.0,Soc,5
Soc_h1_day_minus5,0.0,Soc,5
Soc_h2_day_minus5,0.0,Soc,5
Soc_h3_day_minus5,0.0,Soc,5
Soc_h4_day_minus5,0.0,Soc,5
Soc_h5_day_minus5,0.0,Soc,5
Soc_h6_day_minus5,0.0,Soc,5
Soc_h7_day_minus5,0.0,Soc,5
Soc_h8_day_minus5,0.0,Soc,5
Soc_h9_day_minus5,0.0,Soc,5
Soc_h10_day_minus5,0.0,Soc,5
Soc_h11_day_minus5,0.0,Soc,5
Soc_h12_day_minus5,0.0,Soc,5
Soc_h3_day_minus14,0.0,Soc,14
Soc_h4_day_minus14,0.0,Soc,14
Soc_h15_day_minus5,0.0,Soc,5
Soc_h16_day_minus5,0.0,Soc,5
Soc_h17_day_minus5,0.0,Soc,5
Soc_h18_day_minus5,0.0,Soc,5
Soc_h19_day_minus5,0.0,Soc,5
Soc_h20_day_minus5,0.0,Soc,5
Soc_h21_day_minus5,0.0,Soc,5
Soc_h5_day_minus14,0.0,Soc,14
Soc_h23_day_minus5,0.0,Soc,5
dayofweek_day_minus5,0.0,Date,5
day_day_minus5,0.0,Date,5
month_day_minus5,0.0,Date,5
year_day_minus5,0.0,Date,5
Soc_h6_day_minus14,0.0,Soc,14
dSocdt_h1_day_minus4,0.0,dSocdt,4
dSocdt_h2_day_minus4,0.0,dSocdt,4
dSocdt_h3_day_minus4,0.0,dSocdt,4
dSocdt_h4_day_minus4,0.0,dSocdt,4
Soc_h7_day_minus14,0.0,Soc,14
dSocdt_h6_day_minus4,0.0,dSocdt,4
Soc_h8_day_minus14,0.0,Soc,14
dSocdt_h8_day_minus4,0.0,dSocdt,4
Soc_h9_day_minus14,0.0,Soc,14
Soc_h10_day_minus14,0.0,Soc,14
dSocdt_h11_day_minus4,0.0,dSocdt,4
dSocdt_h12_day_minus4,0.0,dSocdt,4
dSocdt_h13_day_minus4,0.0,dSocdt,4
Soc_h11_day_minus14,0.0,Soc,14
dSocdt_h15_day_minus4,0.0,dSocdt,4
dSocdt_h16_day_minus4,0.0,dSocdt,4
dSocdt_h17_day_minus4,0.0,dSocdt,4
dSocdt_h18_day_minus4,0.0,dSocdt,4
Soc_h12_day_minus14,0.0,Soc,14
Soc_h13_day_minus14,0.0,Soc,14
dSocdt_h21_day_minus4,0.0,dSocdt,4
Soc_h14_day_minus14,0.0,Soc,14
dSocdt_h23_day_minus4,0.0,dSocdt,4
Soc_h0_day_minus4,0.0,Soc,4
Soc_h15_day_minus14,0.0,Soc,14
Soc_h2_day_minus4,0.0,Soc,4
