Date,dSocdt_h0,dSocdt_h1,dSocdt_h2,dSocdt_h3,dSocdt_h4,dSocdt_h5,dSocdt_h6,dSocdt_h7,dSocdt_h8,dSocdt_h9,dSocdt_h10,dSocdt_h11,dSocdt_h12,dSocdt_h13,dSocdt_h14,dSocdt_h15,dSocdt_h16,dSocdt_h17,dSocdt_h18,dSocdt_h19,dSocdt_h20,dSocdt_h21,dSocdt_h22,dSocdt_h23,Soc_h0,Soc_h1,Soc_h2,Soc_h3,Soc_h4,Soc_h5,Soc_h6,Soc_h7,Soc_h8,Soc_h9,Soc_h10,Soc_h11,Soc_h12,Soc_h13,Soc_h14,Soc_h15,Soc_h16,Soc_h17,Soc_h18,Soc_h19,Soc_h20,Soc_h21,Soc_h22,Soc_h23
2024-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4948,-2.4391,-1.6214,-2.7145,-5.9036,-1.5897,-1.866,-2.1804,-3.4716,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,71.5052,69.0661,67.4447,64.7302,58.8266,57.2369,55.3709,53.1905,49.7189
2024-05-07,-3.9205,-5.0249,-0.6973,-0.6972,-0.6973,-0.6973,-0.6973,-0.7448,-0.778,-0.5577,0.0,0.0,-5.537,-2.9917,-6.1355,-10.358,0.0,-4.0343,-0.9293,-1.8322,-6.0378,-5.7647,-3.9189,-1.8435,45.7984,40.7735,40.0762,39.379,38.6817,37.9844,37.2871,36.5423,35.7643,35.2066,59.3255,95.5719,90.0349,87.0432,80.9077,70.5497,72.9551,68.9208,67.9915,66.1593,60.1215,54.3568,50.4379,48.5944
2024-05-08,-2.8472,-2.4232,-1.6721,-0.7672,-0.7673,-0.7672,-0.7673,0.0,0.0,0.0,0.0,-2.0801,-2.6984,-3.2331,-2.9609,-4.3558,-6.8603,-3.933,0.0,-2.9822,-3.7507,-8.8744,-8.8736,-5.1746,45.7472,43.324,41.6519,40.8847,40.1174,39.3502,38.5829,52.3641,100.0,100.0,100.0,97.9199,95.2215,91.9884,89.0275,84.6717,77.8114,73.8784,83.9548,80.9726,77.2219,68.3475,59.4739,54.2993
2024-05-09,-1.5901,-1.3935,-1.2354,-1.2473,-1.3301,-1.3301,-1.3123,-1.1799,-4.5451,0.0,0.0,-12.2009,-5.4908,-3.5713,-2.5123,-2.3489,-2.3603,-2.9375,-2.9144,-2.4958,-2.0944,-5.8871,-5.3519,-2.2084,52.7092,51.3157,50.0803,48.833,47.5029,46.1728,44.8605,43.6806,39.1355,67.3653,99.7699,87.569,82.0782,78.5069,75.9946,73.6457,71.2854,68.3479,65.4335,62.9377,60.8433,54.9562,49.6043,47.3959
2024-05-10,-0.8189,-0.5153,-0.5154,-0.5153,0.0,0.0,0.0,0.0,0.0,-6.209,-1.8547,-2.2762,-2.0211,-1.8833,-1.6519,-3.7523,-4.0099,-5.9689,-3.6514,-3.883,-6.0363,0.0,-2.8927,0.0,46.577,46.0617,45.5463,45.031,45.7455,46.5386,47.3317,61.217,79.0294,72.8204,70.9657,68.6895,66.6684,64.7851,63.1332,59.3809,55.371,49.4021,45.7507,41.8677,35.8314,38.2966,35.4039,66.9488
2024-05-11,-3.1976,-1.1828,-0.5641,-0.5641,-0.564,-0.5641,-0.5641,-0.5641,-0.8059,-0.9228,-0.9228,-1.2823,-1.7726,-4.4303,-2.3439,-1.298,-1.0548,0.0,0.0,0.0,-2.3802,-11.7386,-1.3058,-1.3057,63.7512,62.5684,62.0043,61.4402,60.8762,60.3121,59.748,59.1839,58.378,57.4552,56.5324,55.2501,53.4775,49.0472,46.7033,45.4053,44.3505,48.2073,98.6259,100.0,97.6198,85.8812,84.5754,83.2697
2024-05-12,-5.5161,-10.6615,-1.4534,-0.5963,-0.5963,-0.5963,-0.5963,-0.5963,-0.5963,-1.7594,-2.7217,-2.1157,-3.5587,0.0,0.0,-2.7155,-3.1855,-3.5393,-4.1393,-6.5224,-1.7757,0.0,0.0,-1.3374,77.7536,67.0921,65.6387,65.0424,64.4461,63.8498,63.2535,62.6572,62.0609,60.3015,57.5798,55.4641,51.9054,87.8853,91.5958,88.8803,85.6948,82.1555,78.0162,71.4938,69.7181,86.0,86.0,84.6626
2024-05-13,-1.453,-3.7248,-0.8506,-0.5097,0.0,0.0,0.0,0.0,0.0,-4.1366,-1.8708,-2.0642,-2.5281,-2.0185,-1.9152,-3.7008,-3.8784,-2.5783,-3.7628,-7.6947,-2.6759,-5.5342,-4.168,-3.9033,83.2096,79.4848,78.6342,78.1245,78.6138,79.1032,79.5926,88.7073,96.1012,91.9646,90.0938,88.0296,85.5015,83.483,81.5678,77.867,73.9886,71.4103,67.6475,59.9528,57.2769,51.7427,47.5747,43.6714
2024-05-14,-4.7095,-1.521,-1.0028,-1.0029,-0.9371,-0.8867,-0.8868,-1.6234,-7.0547,-5.9459,0.0,0.0,0.0,-2.7778,-2.7014,-1.6384,-2.0319,-2.7502,-2.7098,-7.7729,0.0,-2.2656,-3.8842,-1.3512,38.9619,37.4409,36.4381,35.4352,34.4981,33.6114,32.7246,31.1012,24.0465,18.1006,25.4064,43.7749,57.1384,54.3606,51.6592,50.0208,47.9889,45.2387,42.5289,34.756,62.9951,60.7295,56.8453,55.4941
2024-05-15,-3.4746,-0.8134,-0.7972,-0.7972,-0.7971,-0.7972,0.0,0.0,0.0,-4.4153,-2.2187,-3.4278,-3.097,-2.0906,-2.4987,-2.6697,-2.9833,-2.6537,-2.579,-2.5335,0.0,-2.1404,-2.9094,-2.3061,52.0195,51.2061,50.4089,49.6117,48.8146,48.0174,53.0643,61.7302,74.1673,69.752,67.5333,64.1055,61.0085,58.9179,56.4192,53.7495,50.7662,48.1125,45.5335,43.0,81.4509,79.3105,76.4011,74.095
2024-05-16,-3.1456,-0.5906,-0.5905,-0.5906,-0.5906,-0.5589,0.0,0.0,0.0,-4.6298,-1.7807,-1.7915,-2.5917,-3.2024,-1.4502,-2.3451,-2.1646,-2.2814,-3.2644,-10.9414,0.0,-1.854,-2.7789,-0.9056,70.9494,70.3588,69.7683,69.1777,68.5871,68.0282,72.8663,85.7368,89.5773,84.9475,83.1668,81.3753,78.7836,75.5812,74.131,71.7859,69.6213,67.3399,64.0755,53.1341,97.0713,95.2173,92.4384,91.5328
2024-05-17,-1.5352,-2.0885,-0.5058,-0.5059,-0.5058,-0.5059,-0.5058,0.0,-0.1342,-4.2704,-2.122,-2.7648,-5.2218,-3.3751,-2.7577,-2.3691,-2.3327,-1.6508,-2.4308,-2.6015,-2.9095,-2.4439,-4.0335,-1.977,89.9976,87.9091,87.4033,86.8974,86.3916,85.8857,85.3799,94.9614,94.8272,90.5568,88.4348,85.67,80.4482,77.0731,74.3154,71.9463,69.6136,67.9628,65.532,62.9305,60.021,57.5771,53.5436,51.5666
2024-05-18,-3.4356,-0.9482,-0.6554,-0.6031,-0.603,-0.7292,-0.8731,-0.9553,-1.3391,-1.3391,0.0,0.0,0.0,-4.0463,-1.6697,-1.4398,-1.5304,-2.9408,-2.3102,-1.7317,-1.6153,-7.6807,-9.0354,-3.2896,48.131,47.1828,46.5274,45.9243,45.3213,44.5921,43.719,42.7637,41.4246,40.0855,45.6959,74.7237,97.505,93.4587,91.789,90.3492,88.8188,85.878,83.5678,81.8361,80.2208,72.5401,63.5047,60.2151
2024-05-19,-9.7826,-10.499,-0.7278,-0.7278,-0.7278,-0.7278,-0.6934,-0.6923,-0.6923,-0.6923,0.0,0.0,0.0,-0.0737,-2.2436,-1.5084,-1.5718,-1.58,-0.6368,-1.359,-2.8679,-2.685,-1.8868,-1.4649,50.4325,39.9335,39.2057,38.4779,37.7501,37.0223,36.3289,35.6366,34.9443,34.252,36.1641,77.9921,100.0,99.9263,97.6827,96.1743,94.6025,93.0225,92.3857,91.0267,88.1588,85.4738,83.587,82.1221
2024-05-20,-1.4382,-2.7097,-0.8261,-0.7121,-0.6871,-0.6871,-0.6872,0.0,0.0,-7.313,-2.1997,-2.7103,-1.4602,-2.2815,-2.6758,-1.476,-2.7973,-8.2767,0.0,-7.8463,-4.1586,-6.007,-11.7588,-2.9767,80.6839,77.9742,77.1481,76.436,75.7489,75.0618,74.3746,90.508,96.0397,88.7267,86.527,83.8167,82.3565,80.075,77.3992,75.9232,73.1259,64.8492,87.8164,79.9701,75.8115,69.8045,58.0457,55.069
